Station,Latitude_(deg),Longitude_(deg),Height_(m),State,County,City_(nearest)
HOTS,41.154,-117.474,1897.30,NV,Humboldt,Winnemucca
HRTM,42.247,-119.564,1735.33,OR,Lake,Lakeview
HUAL,35.739,-114.019,945.66,AZ,Mohave,Wikieup
HUNG,39.689,-119.754,1552.44,NV,Washoe,Reno
HW50,39.425,-116.757,1886.11,NV,Eureka,Eureka
HW56,37.671,-113.513,1653.53,UT,Iron,Newcastle
HW89,39.556,-120.340,1688.82,CA,Sierra,Sierraville
HW95,37.193,-116.945,1227.73,NV,Nye,Beatty
HWKV,42.118,-119.148,1987.66,CA,Modoc,Lake City
ICKY,38.882,-117.737,1960.50,NV,Nye,Gabbs
ICOR,37.466,-117.298,1555.40,NV,Esmeralda,Dyer
INDE,36.798,-118.247,1390.02,CA,Inyo,Independence
INDI,38.650,-118.304,1915.16,NV,Mineral,Luning
INKH,38.736,-117.017,2119.72,NV,Nye,Manhattan
IVAN,35.727,-115.410,942.22,NV,Clark,Jean
IXLC,39.663,-118.187,1239.02,NV,Churchill,Fallon
IZZN,40.866,-116.844,1561.85,NV,Eureka,Crescent Valley
JACK,38.114,-118.406,1724.23,NV,Mineral,Mina
JAKE,41.152,-117.063,1464.16,NV,Humboldt,Golconda
JAMI,39.735,-120.723,1672.99,CA,Plumas,Blairsden-Graeagle
JEAN,35.851,-115.178,920.24,NV,Clark,Las Vegas
JERS,40.278,-117.438,1500.79,NV,Lander,Austin
JONE,37.152,-114.202,1124.99,NV,Clark,Mesquite
JUMB,37.348,-115.603,1472.95,NV,Lincoln,Alamo
JUNG,40.908,-118.412,1309.73,NV,Pershing,Imlay
JUNI,40.323,-119.068,1410.09,NV,Washoe,Empire
KEMP,35.612,-114.465,899.67,NV,Clark,Laughlin
KENN,36.036,-118.201,2208.21,CA,Inyo,Olancha
KINS,38.961,-119.851,1738.65,NV,Douglas,Zephyr Cove
KITT,40.063,-117.912,1655.58,NV,Pershing,Lovelock
KODA,37.520,-111.989,1770.82,UT,Garfield,Tropic
KUMI,40.444,-118.970,1370.71,NV,Washoe,Empire
KYLE,40.401,-117.855,1529.07,NV,Pershing,Imlay
LACE,39.458,-120.442,2149.68,CA,Nevada,Truckee
LAKE,39.936,-119.375,1186.94,NV,Washoe,Nixon
LANT,38.515,-119.489,1801.55,CA,Mono,Coleville
LAPL,39.394,-118.304,1473.21,NV,Churchill,Fallon
LAVA,37.029,-118.181,1459.00,CA,Inyo,Bishop
LAWS,37.393,-118.292,1580.71,CA,Inyo,Big Pine
LEMO,39.581,-120.308,1646.07,CA,Sierra,Loyalton
LIKE,41.228,-120.443,1404.60,CA,Modoc,Likely
LMRR,39.539,-119.813,1373.70,NV,Washoe,Reno
LNGV,41.785,-119.752,1735.99,CA,Modoc,Lake City
LNRD,41.477,-118.710,1275.65,NV,Humboldt,Denio
LONC,40.661,-120.615,2052.15,CA,Lassen,Susanville
LONP,36.553,-118.115,1489.22,CA,Inyo,Lone Pine
LOST,41.074,-119.774,1642.18,CA,Modoc,Cedarville
LUCK,38.424,-118.769,2448.53,NV,Mineral,Hawthorne
LUDW,38.988,-119.285,1526.91,NV,Lyon,Yerington
LUNC,39.629,-120.501,2143.85,CA,Sierra,Calpine
LUND,38.008,-113.475,1599.08,UT,Iron,Beryl
LUXO,40.515,-119.232,1538.65,NV,Washoe,Empire
LVIL,41.070,-119.378,1593.30,NV,Washoe,Gerlach
LYAL,39.669,-120.185,1658.46,CA,Sierra,Loyalton
MADE,41.035,-120.436,1702.03,CA,Lassen,Madeline
MAJU,40.707,-118.437,1426.16,NV,Pershing,Imlay
MALP,34.390,-113.122,649.92,AZ,Yavapai,Bagdad
MANH,38.503,-117.181,1903.32,NV,Nye,Tonopah
MARB,36.450,-111.780,1691.77,AZ,Coconino,Page
MARK,38.677,-119.801,1827.19,CA,Alpine,Markleeville
MASC,41.605,-119.548,1749.16,CA,Modoc,Cedarville
MASO,39.074,-119.163,1354.60,NV,Lyon,Yerington
MASV,38.893,-119.127,1391.30,NV,Lyon,Wellington
MCKI,40.209,-117.784,1590.70,NV,Pershing,Lovelock
MCOY,40.118,-117.590,1184.06,NV,Lander,Austin
MEAD,36.086,-114.083,573.36,AZ,Mohave,Meadview
MESQ,35.694,-115.704,1114.97,NV,Clark,Jean
MICH,38.522,-118.911,1721.22,NV,Mineral,Hawthorne
MILF,38.307,-113.155,1659.28,UT,Beaver,Milford
MILL,40.652,-118.064,1315.67,NV,Pershing,Imlay
